date,year,month_day,spy,vix,sp20vol,next_20_vix,next_20_move,last_20_move,imp_v_hist,vol_diff_p,spy_50_ma,spy_v_ma
1/3/2007,2007,1/3,141.37,12.04,0.067240284,3.3918857423104463,4.795108873904278,,,,,
1/4/2007,2007,1/4,141.67,11.51,0.060005689,3.2425751573084085,4.593756225358822,,,,,
1/5/2007,2007,1/5,140.54,12.14,0.062456707,3.4200575508013973,4.806548881896283,,,,,
1/8/2007,2007,1/8,141.19,12.0,0.062857691,3.3806170189140663,4.77309316900477,,,,,
1/9/2007,2007,1/9,141.07,11.91,0.061132114,3.355262391272211,4.7332686553677075,,,,,
1/10/2007,2007,1/10,141.54,11.47,0.061179317,3.2313064339120285,4.573591126559085,,,,,
1/11/2007,2007,1/11,142.16,10.87,0.064628002,3.0622755829663246,4.353330968744927,,,,,
1/12/2007,2007,1/12,143.24,10.15,0.0662632,2.8594385618314813,4.095859795967415,,,,,
1/16/2007,2007,1/16,142.96,10.74,0.066240771,3.025652231928089,4.325472430764396,,,,,
1/17/2007,2007,1/17,143.02,10.59,0.059204985,2.9833945191916635,4.266850841347917,,,,,
1/18/2007,2007,1/18,142.54,10.85,0.060122233,3.056641221268135,4.356936396795599,,,,,
1/19/2007,2007,1/19,142.82,10.4,0.059712506,2.9298680830588575,4.18443759622466,,,,,
1/22/2007,2007,1/22,142.38,10.77,0.062396944,3.0341037744753745,4.319956954098038,,,,,
1/23/2007,2007,1/23,142.8,10.34,0.063465535,2.912964997964287,4.159714017093002,,,,,
1/24/2007,2007,1/24,143.95,9.89,0.068236111,2.7861918597550095,4.010723182117336,,,,,
1/25/2007,2007,1/25,142.26,11.22,0.077874169,3.160876912684652,4.496663495985185,,,,,
1/26/2007,2007,1/26,142.16,11.13,0.076694689,3.1355222850427964,4.45745848041684,,,,,
1/29/2007,2007,1/29,142.05,11.45,0.072415962,3.225672072213838,4.5820671785797575,,,,,
1/30/2007,2007,1/30,142.79,10.96,0.075247576,3.0876302106081805,4.408827177727421,,,,,
1/31/2007,2007,1/31,143.75,10.42,0.076428926,2.9355024447570472,4.219784764338256,,,,,
2/1/2007,2007,2/1,144.61,10.31,0.077786363,2.904513455417002,4.200216907878527,3.240000000000009,-1.5551088739042687,-32.43114838053857,,
2/2/2007,2007,2/2,144.81,10.08,0.077819165,2.8397182958878155,4.112196064275146,3.140000000000015,-1.4537562253588074,-31.646351134909285,,
2/5/2007,2007,2/5,144.85,10.55,0.073592615,2.9721257957952836,4.305124215209468,4.310000000000002,-0.4965488818962811,-10.330673714076163,,
2/6/2007,2007,2/6,144.89,10.65,0.07354292,3.0002976042862337,4.347131198850324,3.6999999999999886,-1.0730931690047818,-22.48213330452401,,
2/7/2007,2007,2/7,145.21,10.32,0.073249748,2.907330636266097,4.221734816922,4.140000000000015,-0.5932686553676927,-12.53401610100672,,
2/8/2007,2007,2/8,145.02,10.44,0.073743517,2.9411368064552375,4.265236596721386,3.480000000000018,-1.0935911265590672,-23.910994583851753,,
2/9/2007,2007,2/9,143.94,11.1,0.07661448,3.127070742495511,4.501105626748039,1.7800000000000011,-2.5733309687449255,-59.11176952132408,,
2/12/2007,2007,2/12,143.45,11.61,0.075923074,3.270746965799359,4.69188652243918,0.20999999999997954,-3.885859795967435,-94.87287137595052,,
2/13/2007,2007,2/13,144.66,10.34,0.08044875,2.912964997964287,4.213895166055138,1.6999999999999886,-2.6254724307644075,-60.697934683181764,,
2/14/2007,2007,2/14,145.61,10.23,0.084189888,2.8819760086242416,4.196445266157759,2.5900000000000034,-1.676850841347914,-39.29949519440406,,
2/15/2007,2007,2/15,145.8,10.22,0.082958536,2.8791588277751465,4.197813570896164,3.2600000000000193,-1.0969363967955799,-25.17678241992114,,
2/16/2007,2007,2/16,145.73,10.02,0.082936451,2.822815210793245,4.113688606688996,2.9099999999999966,-1.2744375962246632,-30.456604189162807,,
2/20/2007,2007,2/20,146.04,10.24,0.079891992,2.8847931894733367,4.212951973906861,3.6599999999999966,-0.6599569540980417,-15.276933569256682,,
2/21/2007,2007,2/21,145.98,10.2,0.079969713,2.873524466076956,4.19477101557914,3.1799999999999784,-0.9797140170930234,-23.552436851841378,,
2/22/2007,2007,2/22,145.87,10.18,0.075142302,2.867890104378766,4.183391295257306,1.920000000000016,-2.09072318211732,-52.12833414779795,,
2/23/2007,2007,2/23,145.3,10.58,0.063039654,2.9805773383425684,4.330778872611752,3.0400000000000205,-1.4566634959851648,-32.394318527186584,,
2/26/2007,2007,2/26,145.17,11.15,0.063060898,3.1411566467409866,4.56001710407389,3.009999999999991,-1.4474584804168487,-32.472730520677544,,
2/27/2007,2007,2/27,139.5,18.31,0.141619018,5.158258134693045,7.195770097896798,2.5500000000000114,-2.032067178579746,-44.34826246283013,,
2/28/2007,2007,2/28,140.93,15.42,0.141492401,4.344092869304575,6.122130080710938,1.8599999999999852,-2.5488271777274356,-57.811909493836346,,
3/1/2007,2007,3/1,140.51,15.82,0.13891456,4.456780103268377,6.262221723102397,3.240000000000009,-0.9797847643382465,-23.218832690673878,,
3/2/2007,2007,3/2,138.67,18.61,0.141150897,5.242773560165897,7.270154095882049,5.940000000000026,1.739783092121499,41.42126776496026,,
3/5/2007,2007,3/5,137.35,19.63,0.142753263,5.530126006773593,7.595628070303531,7.460000000000008,3.347803935724862,81.41158357717987,,
3/6/2007,2007,3/6,139.7,15.96,0.156527591,4.496220635155709,6.281220227312524,5.150000000000006,0.8448757847905375,19.62488751905686,,
3/7/2007,2007,3/7,139.56,15.24,0.156269558,4.293383614020864,5.991846171727518,5.329999999999984,0.9828688011496602,22.609595988490003,,
3/8/2007,2007,3/8,140.74,14.29,0.159181683,4.025751433356834,5.665842567306409,4.469999999999999,0.24826518307799894,5.880643712695464,,
3/9/2007,2007,3/9,140.78,14.09,0.159388989,3.9694078163749325,5.58813232389263,4.240000000000009,-0.02523659672137679,-0.5916810509591831,,
3/12/2007,2007,3/12,140.99,13.99,0.158658817,3.9412360078839823,5.556748647515628,2.9499999999999886,-1.5511056267480505,-34.460547149361034,,
3/13/2007,2007,3/13,138.25,18.13,0.172800854,5.107548879409335,7.061186325783406,5.199999999999989,0.5081134775608085,10.829619922193995,,
3/14/2007,2007,3/14,139.28,17.27,0.17216808,4.86527132638716,6.7763499033920365,5.3799999999999955,1.1661048339448579,27.672848706307846,,
3/15/2007,2007,3/15,139.47,16.43,0.169796188,4.628628135063176,6.455547659972612,6.140000000000015,1.943554733842256,46.31431153209735,142.5786,0.978197289074237
3/16/2007,2007,3/16,138.53,16.79,0.169460518,4.730046645630598,6.552533618192067,7.27000000000001,3.072186429103846,73.18539466363164,142.5218,0.9719916532067374
3/19/2007,2007,3/19,140.2,14.59,0.175892096,4.110266858829686,5.762594136079219,5.530000000000001,1.4163113933110054,34.42923197949489,142.4924,0.9839121244361102
3/20/2007,2007,3/20,140.97,13.27,0.177545169,3.738398986749138,5.270021051620259,5.069999999999993,0.8570480260931319,20.343171044941975,142.501,0.9892562157458544
3/21/2007,2007,3/21,143.29,12.19,0.189582668,3.434143455046872,4.920784156736662,2.6899999999999977,-1.5047710155791423,-35.87254250566976,142.543,1.0052405239120825
3/22/2007,2007,3/22,143.18,12.93,0.189586106,3.6426148378799064,5.21549592487645,2.6899999999999977,-1.4933912952573083,-35.69810208646655,142.58520000000001,1.0041715409453436
3/23/2007,2007,3/23,143.39,12.95,0.189369502,3.648249199578096,5.231224527275032,1.910000000000025,-2.420778872611727,-55.89707865070086,142.6222,1.0053834536278363
3/26/2007,2007,3/26,143.2,13.11,0.189409217,3.6933240931636173,5.2888401014103,1.9699999999999989,-2.5900171040738913,-56.79840765860257,142.643,1.0039048533752093
